"","Domain","Phylum","Class","Order","Family","Genus"
"EU491839.1.1445","Bacteria","Fusobacteria","Fusobacteriia","BS1-0-74","",""
"JN886903.1.1487","Bacteria","Acidobacteria","Acidobacteria","Subgroup 21","",""
"EU132026.1.1366","Bacteria","Acidobacteria","Acidobacteria","Subgroup 6","",""
"HM341197.1.1353","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Hydrotalea"
"DQ015844.1.1494","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Pseudospirillum"
"HM445411.1.1359","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","uncultured"
"JQ678434.1.1542","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27 clade"
"FJ825891.1.1477","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Cryomorphaceae","Owenweeksia"
"EU132017.1.1300","Bacteria","Acidobacteria","Acidobacteria","Subgroup 4","24-Nov",""
"EF019027.1.1242","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","uncultured",""
"FJ973595.1.1393","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus"
"JQ465904.1.1391","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"DQ793813.1.1282","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum"
"JN615753.1.1386","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","0319-6A21",""
"JQ825082.1.1501","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azoarcus"
"GQ346971.1.1361","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Nitrospinaceae","Nitrospina"
"JF747662.1.1519","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Nitrospinaceae","uncultured"
"FJ432405.1.1226","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium"
"FJ152913.1.1510","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","uncultured",""
"GQ048895.1.1282","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"HQ673852.1.1461","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27 clade"
"JX001148.1.1425","Bacteria","Chloroflexi","Dehalococcoidia","GIF3","",""
"JN018914.1.1343","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Deep 1",""
"FJ628299.1.1483","Bacteria","Bacteroidetes","VC2.1 Bac22","","",""
"GU118250.1.1455","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Haliea"
"AM086142.1.1416","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","uncultured"
"AM997670.1.1478","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","uncultured"
"DQ312243.1.1296","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Hahellaceae","Endozoicomonas"
"AB636991.1.1481","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Pontibacter"
"JN547444.1.1442","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus"
"JN811702.1.1315","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Donghicola"
"EU925834.1.1522","Bacteria","Proteobacteria","Deltaproteobacteria","Sh765B-TzT-29","",""
"JF228084.1.1345","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Iamiaceae","Iamia"
"DQ376919.1.1335","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"HQ673237.1.1510","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)",""
"JX879053.1.1463","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured"
"HM186408.1.1307","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","uncultured"
"HQ326998.1.1431","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium"
"EF574663.1.1445","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116 clade",""
"AGTN01582465.203.1476","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Azospirillum"
"JQ074015.1.1288","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter"
"AB288916.1.1360","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Tannerella"
"JQ580101.1.1479","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Algibacter"
"JN496039.1.1368","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae","uncultured"
"JQ428009.1.1490","Bacteria","Bacteroidetes","Cytophagia","Order II Incertae Sedis","Rhodothermaceae","Rubricoccus"
"JX983917.1.1231","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Blastopirellula"
"JX222273.1.1330","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","uncultured"
"JN535012.1.1329","Bacteria","Proteobacteria","Alphaproteobacteria","E6aD10","",""
"JQ428707.1.1442","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","uncultured"
"DQ899889.1.1307","Bacteria","Firmicutes","Bacilli","Bacillales","Family XII Incertae Sedis","Exiguobacterium"
"EU133338.1.1250","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
